[15-May-2020 16:17:02 Africa/Nairobi] PHP Warning:  mysqli::__construct(): (HY000/1040): Too many connections in /home/standard_digital/httpdocs/sg_ussd/sendFeedback.php on line 7
[15-May-2020 16:22:12 Africa/Nairobi] PHP Warning:  mysqli::__construct(): (HY000/1040): Too many connections in /home/standard_digital/httpdocs/sg_ussd/sendFeedback.php on line 7
[15-May-2020 16:23:04 Africa/Nairobi] PHP Warning:  mysqli::__construct(): (HY000/1040): Too many connections in /home/standard_digital/httpdocs/sg_ussd/sendFeedback.php on line 7
[15-May-2020 16:25:02 Africa/Nairobi] PHP Warning:  mysqli::__construct(): (HY000/1040): Too many connections in /home/standard_digital/httpdocs/sg_ussd/sendFeedback.php on line 7
[15-May-2020 16:29:09 Africa/Nairobi] PHP Warning:  mysqli::__construct(): (HY000/1040): Too many connections in /home/standard_digital/httpdocs/sg_ussd/sendFeedback.php on line 7
[15-May-2020 16:31:01 Africa/Nairobi] PHP Warning:  mysqli::__construct(): (HY000/1040): Too many connections in /home/standard_digital/httpdocs/sg_ussd/sendFeedback.php on line 7
[15-May-2020 16:38:01 Africa/Nairobi] PHP Warning:  mysqli::__construct(): (HY000/1040): Too many connections in /home/standard_digital/httpdocs/sg_ussd/sendFeedback.php on line 7
[15-May-2020 16:46:01 Africa/Nairobi] PHP Warning:  mysqli::__construct(): (HY000/1040): Too many connections in /home/standard_digital/httpdocs/sg_ussd/sendFeedback.php on line 7
[15-May-2020 16:48:01 Africa/Nairobi] PHP Warning:  mysqli::__construct(): (HY000/1040): Too many connections in /home/standard_digital/httpdocs/sg_ussd/sendFeedback.php on line 7
[15-May-2020 16:56:01 Africa/Nairobi] PHP Warning:  mysqli::__construct(): (HY000/1040): Too many connections in /home/standard_digital/httpdocs/sg_ussd/sendFeedback.php on line 7
[15-May-2020 16:57:01 Africa/Nairobi] PHP Warning:  mysqli::__construct(): (HY000/1040): Too many connections in /home/standard_digital/httpdocs/sg_ussd/sendFeedback.php on line 7
[15-May-2020 17:20:01 Africa/Nairobi] PHP Warning:  mysqli::__construct(): (HY000/1040): Too many connections in /home/standard_digital/httpdocs/sg_ussd/sendFeedback.php on line 7
[15-May-2020 19:41:09 Africa/Nairobi] PHP Warning:  mysqli::__construct(): (HY000/1040): Too many connections in /home/standard_digital/httpdocs/sg_ussd/sendFeedback.php on line 7
[15-May-2020 19:41:10 Africa/Nairobi] PHP Warning:  mysqli::__construct(): (HY000/1040): Too many connections in /home/standard_digital/httpdocs/sg_ussd/sendFeedback.php on line 7
[15-May-2020 19:41:11 Africa/Nairobi] PHP Warning:  mysqli::__construct(): (HY000/1040): Too many connections in /home/standard_digital/httpdocs/sg_ussd/sendFeedback.php on line 7
[15-May-2020 19:41:12 Africa/Nairobi] PHP Warning:  mysqli::__construct(): (HY000/1040): Too many connections in /home/standard_digital/httpdocs/sg_ussd/sendFeedback.php on line 7
[15-May-2020 20:00:13 Africa/Nairobi] PHP Warning:  mysqli::__construct(): (HY000/1040): Too many connections in /home/standard_digital/httpdocs/sg_ussd/sendFeedback.php on line 7
[15-May-2020 20:00:13 Africa/Nairobi] PHP Warning:  mysqli::__construct(): (HY000/1040): Too many connections in /home/standard_digital/httpdocs/sg_ussd/sendFeedback.php on line 7
[15-May-2020 20:00:14 Africa/Nairobi] PHP Warning:  mysqli::__construct(): (HY000/1040): Too many connections in /home/standard_digital/httpdocs/sg_ussd/sendFeedback.php on line 7
[15-May-2020 20:00:14 Africa/Nairobi] PHP Warning:  mysqli::__construct(): (HY000/1040): Too many connections in /home/standard_digital/httpdocs/sg_ussd/sendFeedback.php on line 7
[15-May-2020 20:00:16 Africa/Nairobi] PHP Warning:  mysqli::__construct(): (HY000/1040): Too many connections in /home/standard_digital/httpdocs/sg_ussd/sendFeedback.php on line 7
[15-May-2020 20:01:03 Africa/Nairobi] PHP Warning:  mysqli::__construct(): (HY000/1040): Too many connections in /home/standard_digital/httpdocs/sg_ussd/sendFeedback.php on line 7
[15-May-2020 20:02:01 Africa/Nairobi] PHP Warning:  mysqli::__construct(): (HY000/1040): Too many connections in /home/standard_digital/httpdocs/sg_ussd/sendFeedback.php on line 7
[15-May-2020 20:03:01 Africa/Nairobi] PHP Warning:  Packets out of order. Expected 0 received 1. Packet size=23 in /home/standard_digital/httpdocs/sg_ussd/sendFeedback.php on line 7
[15-May-2020 20:03:01 Africa/Nairobi] PHP Warning:  mysqli::__construct(): Error while reading greeting packet. PID=17982 in /home/standard_digital/httpdocs/sg_ussd/sendFeedback.php on line 7
[15-May-2020 20:03:01 Africa/Nairobi] PHP Warning:  mysqli::__construct(): (HY000/2006): MySQL server has gone away in /home/standard_digital/httpdocs/sg_ussd/sendFeedback.php on line 7
[15-May-2020 20:04:17 Africa/Nairobi] PHP Warning:  mysqli::__construct(): (HY000/1040): Too many connections in /home/standard_digital/httpdocs/sg_ussd/sendFeedback.php on line 7
[15-May-2020 20:05:12 Africa/Nairobi] PHP Warning:  mysqli::__construct(): (HY000/1040): Too many connections in /home/standard_digital/httpdocs/sg_ussd/sendFeedback.php on line 7
[15-May-2020 20:06:10 Africa/Nairobi] PHP Warning:  mysqli::__construct(): (HY000/1040): Too many connections in /home/standard_digital/httpdocs/sg_ussd/sendFeedback.php on line 7
[15-May-2020 20:07:01 Africa/Nairobi] PHP Warning:  mysqli::__construct(): (HY000/1040): Too many connections in /home/standard_digital/httpdocs/sg_ussd/sendFeedback.php on line 7
[15-May-2020 20:08:02 Africa/Nairobi] PHP Warning:  mysqli::__construct(): (HY000/1040): Too many connections in /home/standard_digital/httpdocs/sg_ussd/sendFeedback.php on line 7
[15-May-2020 20:09:01 Africa/Nairobi] PHP Warning:  mysqli::__construct(): (HY000/1040): Too many connections in /home/standard_digital/httpdocs/sg_ussd/sendFeedback.php on line 7
[15-May-2020 20:10:02 Africa/Nairobi] PHP Warning:  mysqli::__construct(): (HY000/1040): Too many connections in /home/standard_digital/httpdocs/sg_ussd/sendFeedback.php on line 7
[15-May-2020 20:11:01 Africa/Nairobi] PHP Warning:  mysqli::__construct(): (HY000/2002): No such file or directory in /home/standard_digital/httpdocs/sg_ussd/sendFeedback.php on line 7
[15-May-2020 20:13:01 Africa/Nairobi] PHP Warning:  mysqli::__construct(): (HY000/2002): No such file or directory in /home/standard_digital/httpdocs/sg_ussd/sendFeedback.php on line 7
[15-May-2020 21:12:01 Africa/Nairobi] PHP Warning:  mysqli::__construct(): (HY000/2002): No such file or directory in /home/standard_digital/httpdocs/sg_ussd/sendFeedback.php on line 7
[16-May-2020 12:17:53 Africa/Nairobi] PHP Warning:  mysqli::__construct(): (HY000/2002): No such file or directory in /home/standard_digital/httpdocs/sg_ussd/sendFeedback.php on line 7
[16-May-2020 12:17:53 Africa/Nairobi] PHP Warning:  mysqli::__construct(): (HY000/2002): No such file or directory in /home/standard_digital/httpdocs/sg_ussd/sendFeedback.php on line 7
[16-May-2020 12:17:53 Africa/Nairobi] PHP Warning:  mysqli::__construct(): (HY000/2002): No such file or directory in /home/standard_digital/httpdocs/sg_ussd/sendFeedback.php on line 7
[16-May-2020 12:17:53 Africa/Nairobi] PHP Warning:  mysqli::__construct(): (HY000/2002): No such file or directory in /home/standard_digital/httpdocs/sg_ussd/sendFeedback.php on line 7
[19-May-2020 07:29:59 Africa/Nairobi] PHP Warning:  mysqli::__construct(): (HY000/2002): No such file or directory in /home/standard_digital/httpdocs/sg_ussd/sendFeedback.php on line 7
[19-May-2020 07:32:01 Africa/Nairobi] PHP Warning:  mysqli::__construct(): (HY000/2002): No such file or directory in /home/standard_digital/httpdocs/sg_ussd/sendFeedback.php on line 7
[21-May-2020 09:33:26 Africa/Nairobi] PHP Warning:  mysqli::__construct(): (HY000/2002): No such file or directory in /home/standard_digital/httpdocs/sg_ussd/sendFeedback.php on line 7
[21-May-2020 09:33:26 Africa/Nairobi] PHP Warning:  mysqli::__construct(): (HY000/2002): No such file or directory in /home/standard_digital/httpdocs/sg_ussd/sendFeedback.php on line 7
[21-May-2020 11:31:51 Africa/Nairobi] PHP Warning:  mysqli::__construct(): (HY000/2002): No such file or directory in /home/standard_digital/httpdocs/sg_ussd/sendFeedback.php on line 7
[21-May-2020 11:34:01 Africa/Nairobi] PHP Warning:  mysqli::__construct(): (HY000/2002): No such file or directory in /home/standard_digital/httpdocs/sg_ussd/sendFeedback.php on line 7
[21-May-2020 14:40:09 Africa/Nairobi] PHP Warning:  mysqli::__construct(): (HY000/2002): No such file or directory in /home/standard_digital/httpdocs/sg_ussd/sendFeedback.php on line 7
[21-May-2020 14:40:09 Africa/Nairobi] PHP Warning:  mysqli::__construct(): (HY000/2002): No such file or directory in /home/standard_digital/httpdocs/sg_ussd/sendFeedback.php on line 7
[21-May-2020 14:40:09 Africa/Nairobi] PHP Warning:  mysqli::__construct(): (HY000/2002): No such file or directory in /home/standard_digital/httpdocs/sg_ussd/sendFeedback.php on line 7
[21-May-2020 14:40:09 Africa/Nairobi] PHP Warning:  mysqli::__construct(): (HY000/2002): No such file or directory in /home/standard_digital/httpdocs/sg_ussd/sendFeedback.php on line 7
[21-May-2020 14:40:09 Africa/Nairobi] PHP Warning:  mysqli::__construct(): (HY000/2002): No such file or directory in /home/standard_digital/httpdocs/sg_ussd/sendFeedback.php on line 7
[23-May-2020 15:08:10 Africa/Nairobi] PHP Warning:  mysqli::__construct(): (HY000/2002): No such file or directory in /home/standard_digital/httpdocs/sg_ussd/sendFeedback.php on line 7
[23-May-2020 15:08:10 Africa/Nairobi] PHP Warning:  mysqli::__construct(): (HY000/2002): No such file or directory in /home/standard_digital/httpdocs/sg_ussd/sendFeedback.php on line 7
[23-May-2020 15:08:10 Africa/Nairobi] PHP Warning:  mysqli::__construct(): (HY000/2002): No such file or directory in /home/standard_digital/httpdocs/sg_ussd/sendFeedback.php on line 7
[23-May-2020 15:08:10 Africa/Nairobi] PHP Warning:  mysqli::__construct(): (HY000/2002): No such file or directory in /home/standard_digital/httpdocs/sg_ussd/sendFeedback.php on line 7
[23-May-2020 15:08:10 Africa/Nairobi] PHP Warning:  mysqli::__construct(): (HY000/2002): No such file or directory in /home/standard_digital/httpdocs/sg_ussd/sendFeedback.php on line 7
[24-May-2020 09:56:54 Africa/Nairobi] PHP Warning:  mysqli::__construct(): (HY000/2002): No such file or directory in /home/standard_digital/httpdocs/sg_ussd/sendFeedback.php on line 7
[24-May-2020 09:56:54 Africa/Nairobi] PHP Warning:  mysqli::__construct(): (HY000/2002): No such file or directory in /home/standard_digital/httpdocs/sg_ussd/sendFeedback.php on line 7
[24-May-2020 09:56:54 Africa/Nairobi] PHP Warning:  mysqli::__construct(): (HY000/2002): No such file or directory in /home/standard_digital/httpdocs/sg_ussd/sendFeedback.php on line 7
[24-May-2020 09:56:54 Africa/Nairobi] PHP Warning:  mysqli::__construct(): (HY000/2002): No such file or directory in /home/standard_digital/httpdocs/sg_ussd/sendFeedback.php on line 7
[24-May-2020 09:56:54 Africa/Nairobi] PHP Warning:  mysqli::__construct(): (HY000/2002): No such file or directory in /home/standard_digital/httpdocs/sg_ussd/sendFeedback.php on line 7
[24-May-2020 09:57:01 Africa/Nairobi] PHP Warning:  mysqli::__construct(): (HY000/2002): No such file or directory in /home/standard_digital/httpdocs/sg_ussd/sendFeedback.php on line 7
[27-May-2020 07:34:01 Africa/Nairobi] PHP Warning:  mysqli::__construct(): (HY000/2002): No such file or directory in /home/standard_digital/httpdocs/sg_ussd/sendFeedback.php on line 7
